Title,Company,Experience,Location,Description,Posted,Skills,Link
Data Scientist/Senior Data Scientist - NLP GenAi,Fractal Analytics,5-10 Yrs,"Bengaluru, Noida, Mumbai, Pune, Chennai, Gurugram",Demonstrate excellent communication skills and the ability to work effectively in a tea...,30+ Days Ago,"GIT, GCP, Analytical, Software development life cycle, Application development, Natural language processing, Open source, AWS",https://www.naukri.com/job-listings-data-scientist-senior-data-scientist-nlp-genai-fractal-analytics-ltd-noida-mumbai-pune-chennai-gurugram-bengaluru-5-to-10-years-060225507632
NLP Engineer | FTE,Nippon Data Systems,3-8 Yrs,"Hybrid - Bengaluru, Pune, Chennai",NLP Engineer Location: Chennai / Pune / Bangalore Interview: Virtual (Hybrid Work Model...,6 Days Ago,"NLP, kore.ai, Javascript, Chatbot, Python, Natural language processing",https://www.naukri.com/job-listings-nlp-engineer-fte-nippon-data-systems-pune-chennai-bengaluru-3-to-8-years-220425004245
Data Scientist - NLP/Gen AI,Tiger Analytics,4-8 Yrs,"Bengaluru, Hyderabad, Chennai",Generative AI & NLP Expertise : Extensive experience in developing and deploying Genera...,18 Days Ago,"Data Science, Gen AI, Python, NLP, RAG, Bert, LLM, Gen",https://www.naukri.com/job-listings-data-scientist-nlp-gen-ai-tiger-analytics-hyderabad-chennai-bengaluru-4-to-8-years-170325019163
Senior Machine Learning Engineer - NLP/Python,Maimsd Technology,4-7 Yrs,Bengaluru,Working mode : RegularNotice Period : Immediate - 15 DaysAbout the Role :We are seeking...,20 Days Ago,"Machine Learning, Data Science, Tensorflow, Azure, NLP, Data Scientist, AWS, Python",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-python-maimsd-technology-bengaluru-4-to-7-years-080425905521
Senior Machine Learning Engineer (NLP),Suki,3-7 Yrs,Bengaluru,Working at Suki: Our hybrid model offers the perfect balance of in-office collaboration...,30+ Days Ago,"Administration, Backend, C++, Transcription, Machine learning, Javascript, Healthcare, Data structures",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-suki-bengaluru-3-to-7-years-260924501685
Gen AI Engineer,Health information technology and clinical research industry,4-8 Yrs,Hybrid - Bengaluru,"Requirements: . Bachelors / Master s / PhD degree in Computer Science, Engineering, Mat...",Few Hours Ago,"NLP, Artificial Intelligence, Machine Learning, Deep Learning, Python, Machine, Intelligence, Gen",https://www.naukri.com/job-listings-gen-ai-engineer-ascendion-engineering-bengaluru-4-to-8-years-280425914909
GN - SONG - Service - Google Gen AI - Analyst,Accenture,5-10 Yrs,Bengaluru,The SONG Practice | Google SpecialistJoin our team of SONG consultants who solve custom...,Today,"nuance, amazon lex, google, cx, watson, business intelligence, artificial intelligence, genesys framework",https://www.naukri.com/job-listings-gn-song-service-google-gen-ai-analyst-accenture-solutions-pvt-ltd-bengaluru-5-to-10-years-280425912105
"Senior Engineer, Gen AI / DL / ML",Vhunt4u,3-5 Yrs,Bengaluru,"Expertise in designing and implementing machine learning and deep learning models, focu...",Today,"Gen AI, VLM, RAG, LLM, Python, NLP, Artificial Intelligence, Machine Learning",https://www.naukri.com/job-listings-senior-engineer-gen-ai-dl-ml-vhunt4u-bengaluru-3-to-5-years-280425910335
Gen AI Architect,BriskWin IT (BWIT),3-6 Yrs,Bengaluru,Job Description: * GenAI & Data Science; Digital Architecture & Enablement; Emer...,Just Now,"deep learning, github, Resource utilization, GIT, PDF, Monitoring tools, Networking, HP data protector",https://www.naukri.com/job-listings-gen-ai-architect-briskwin-it-solutions-private-limited-bengaluru-3-to-6-years-280425502723
"Senior / Lead AI (Gen AI, MLE)",Tiger Analytics,5-9 Yrs,"Hybrid - Bengaluru, Hyderabad, Chennai","Role & responsibilities As an AI lead specializing in Generative AI, and Machine Learn...",Today,"Gen AI, MLE, AI, NLP, Deployment, LLM, Natural language processing, Artificial Intelligence",https://www.naukri.com/job-listings-senior-lead-ai-gen-ai-mle-tiger-analytics-hyderabad-chennai-bengaluru-5-to-9-years-210425007490
